# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
  2017 XR2   20171213   zr   0.350519   1.0135    0.0336  18.73 -1.6063    0.6459  	307002
  2017 XR2   20171214   zr   0.387703   1.0133    0.0321  18.47  4.1735    0.6375  	215961
  2017 XR2   20171215   zr   0.409782   1.0132    0.0312  18.28 10.9738    0.8143  	216539
  2017 XR2   20171217   zr   0.365889   1.0137    0.0327  18.49 24.9335    1.2285  	390891
  2017 XR2   20171217   zr   0.365818   1.0137    0.0327  18.49 24.9424    1.2310  	392523
  2017 XR2   20171217   zr   0.365794   1.0137    0.0327  18.49 24.9454    1.2317  	393056
  2017 XR2   20171217   zr   0.364911   1.0137    0.0327  18.49 25.0780    1.2711  	417465
  2017 XR2   20171217   zr   0.364408   1.0137    0.0328  18.50 25.1940    1.3043  	439016
  2017 XR2   20171217   zr   0.364398   1.0137    0.0328  18.50 25.1969    1.3051  	439560
  2017 XR2   20171217   zr   0.364380   1.0137    0.0328  18.50 25.2027    1.3062  	440648
  2017 XR2   20171217   zr   0.364371   1.0137    0.0328  18.50 25.2056    1.3070  	441192
  2017 XR2   20171218   zr   0.337455   1.0142    0.0344  18.73 29.2493    1.1301  	229213
  2017 XR2   20171218   zr   0.323368   1.0142    0.0347  18.77 29.8839    1.1925  	364861
  2017 XR2   20171218   zr   0.323329   1.0142    0.0347  18.77 29.8863    1.1932  	365405
  2017 XR2   20171220   zg   0.230553   1.0158    0.0408  19.42 36.8971    1.1860  	371192
  2017 XR2   20171220   zg   0.229724   1.0158    0.0408  19.43 36.9291    1.1897  	384039
  2017 XR2   20171220   zg   0.228223   1.0159    0.0409  19.43 36.9972    1.2014  	411875
  2017 XR2   20171221   zg   0.189479   1.0169    0.0447  19.74 39.1345    1.1969  	413900
  2017 XR2   20171221   zg   0.188969   1.0170    0.0447  19.75 39.1579    1.2015  	427708
  2017 XY2   20171210   zr   0.188489   1.0056    0.0259  20.95 26.6095    6.7626  	373958
  2017 XY2   20171210   zr   0.191230   1.0056    0.0258  20.95 26.5327    6.7370  	391354
  2017 XY2   20171212   zr   0.389849   0.9999    0.0181  20.01 14.0482    3.4023  	334132
  2017 XY2   20171212   zr   0.427120   0.9995    0.0176  19.94 12.7363    3.0764  	471933
  2017 XY2   20171212   zr   0.432945   0.9995    0.0175  19.93 12.5252    3.0628  	493333
  2017 XY2   20171212   zr   0.435444   0.9995    0.0175  19.93 12.4331    3.0592  	502454
  2017 XY2   20171212   zr   0.441954   0.9994    0.0174  19.92 12.1878    3.0572  	526296
  2017 XY2   20171212   zr   0.447545   0.9993    0.0173  19.91 11.9697    3.0609  	547465
  2017 XY2   20171213   zr   0.649479   0.9965    0.0143  19.50  0.1797    1.6124  	510961
  2017 XY2   20171213   zr   0.656737   0.9965    0.0142  19.50 -0.1642    1.7607  	533646
  2017 XY2   20171214   zr   0.858586   0.9940    0.0123  19.40 -14.8625   1.5714  	382060
  2017 XY2   20171214   zr   0.871555   0.9939    0.0122  19.40 -15.9214   1.8553  	434884
  2017 XZ2   20171212   zr   0.482977   0.9970    0.0154  19.99 15.3146   21.9108  	471933
  2017 XZ2   20171212   zr   0.479880   0.9971    0.0155  20.00 14.9794   20.5958  	502454
  2017 XZ2   20171212   zr   0.477219   0.9972    0.0156  20.01 14.7144   19.6040  	526296
  2017 XZ2   20171212   zr   0.474709   0.9973    0.0156  20.02 14.4833   18.7721  	547465
  2017 XZ2   20171214   zr   0.209715   1.0031    0.0230  20.87  1.2930    1.0310  	383692
  2017 XZ2   20171214   zr   0.208332   1.0032    0.0233  20.90  1.0159    1.4383  	440312
 2017 XN60   20171208   zr   0.447256   0.9931    0.0127  18.35 45.7854   46.9507  	366551
 2017 XP60   20171214   zr   0.293092   1.0374    0.0903  20.36 14.2795    0.6502  	423785
 2017 XP60   20171214   zr   0.292286   1.0377    0.0905  20.36 14.2716    0.6596  	446285
 2017 XP60   20171214   zr   0.291512   1.0380    0.0906  20.36 14.2647    0.6775  	465359
 2017 XP60   20171215   zr   0.250629   1.0514    0.0980  20.33 13.8844    0.8202  	425810
 2017 XP60   20171215   zr   0.248941   1.0520    0.0983  20.33 13.8639    0.8559  	468924
 2017 XP60   20171215   zr   0.247113   1.0525    0.0987  20.33 13.8450    0.9050  	507037
 2017 XP60   20171215   zr   0.245987   1.0528    0.0988  20.33 13.8343    0.9373  	527917
 2017 XP60   20171217   zr   0.179867   1.0795    0.1165  20.38 12.8933    0.9965  	451227
 2017 XP60   20171217   zr   0.177035   1.0804    0.1172  20.39 12.8551    0.9972  	521354
 2017 XQ60   20171216   zr   0.231538   1.0152    0.0566  20.61 22.5007    1.3460  	441655
 2017 XQ60   20171216   zr   0.236862   1.0150    0.0562  20.59 22.1984    1.3032  	497280
 2017 XQ60   20171217   zr   0.302504   1.0115    0.0496  20.31 16.3087    1.7378  	452859
 2017 XQ60   20171218   zr   0.394698   1.0078    0.0435  20.03  8.2478    1.8946  	458264
 2017 XQ60   20171218   zr   0.397192   1.0078    0.0434  20.02  8.0723    1.8743  	477593
 2017 XQ60   20171218   zr   0.397834   1.0077    0.0433  20.02  8.0269    1.8706  	482488
 2017 XQ60   20171220   zg   0.595809   1.0006    0.0354  19.73 -14.5727   1.3112  	437454
 2017 XQ60   20171220   zg   0.598896   1.0004    0.0353  19.73 -15.1669   1.3778  	480197
 2017 XR60   20171217   zr   0.201651   1.0022    0.0366  20.06 25.5683    0.5718  	091875
 2017 XR60   20171217   zr   0.201172   1.0023    0.0363  20.03 26.0305    0.6081  	285787
 2017 XR60   20171220   zg   0.237293   1.0050    0.0336  19.58 32.3636    1.1077  	202025
 2017 XR60   20171220   zg   0.236966   1.0050    0.0336  19.58 32.3946    1.1129  	218102
 2017 XR60   20171223   zg   0.239325   1.0088    0.0339  19.33 36.0267    1.4074  	120660
 2017 XR60   20171223   zg   0.239277   1.0088    0.0339  19.33 36.0272    1.4074  	121192
 2017 XR60   20171223   zg   0.231478   1.0090    0.0340  19.32 36.1194    1.4429  	250764
 2017 XR60   20171223   zg   0.231084   1.0090    0.0340  19.32 36.1314    1.4493  	273275
 2017 XR60   20171223   zg   0.231078   1.0090    0.0340  19.32 36.1317    1.4488  	273808
 2017 XR60   20171223   zg   0.231852   1.0091    0.0340  19.32 36.1611    1.4631  	342928
 2017 XR60   20171227   zg   0.170173   1.0162    0.0397  19.43 34.8960    1.2921  	347083
 2017 XR60   20171227   zg   0.170584   1.0163    0.0397  19.43 34.8762    1.2929  	367975
 2017 XR60   20171227   zg   0.171154   1.0163    0.0398  19.43 34.8570    1.2938  	387523
 2017 XT60   20171215   zr   0.350565   1.0065    0.0231  20.25 -6.0741    0.6163  	264109
 2017 XT60   20171215   zr   0.350635   1.0065    0.0231  20.25 -6.0795    0.6179  	265197
 2017 XT60   20171215   zr   0.350706   1.0065    0.0231  20.25 -6.0848    0.6187  	266285
 2017 XT60   20171215   zr   0.350777   1.0065    0.0231  20.25 -6.0900    0.6209  	267373
 2017 XT60   20171215   zr   0.350850   1.0065    0.0231  20.25 -6.0954    0.6217  	268461
 2017 XT60   20171215   zr   0.350923   1.0065    0.0231  20.25 -6.1007    0.6233  	269549
 2017 XT60   20171215   zr   0.350998   1.0065    0.0231  20.25 -6.1060    0.6241  	270625
 2017 XT60   20171215   zr   0.351074   1.0065    0.0231  20.25 -6.1113    0.6263  	271713
 2017 XT60   20171215   zr   0.351149   1.0065    0.0231  20.25 -6.1166    0.6280  	272801
 2017 XT60   20171215   zr   0.351227   1.0065    0.0231  20.25 -6.1219    0.6296  	273889
 2017 XT60   20171215   zr   0.351305   1.0065    0.0231  20.25 -6.1273    0.6304  	274977
 2017 XT60   20171215   zr   0.351384   1.0065    0.0231  20.25 -6.1326    0.6326  	276053
 2017 XT60   20171215   zr   0.351464   1.0065    0.0231  20.25 -6.1379    0.6343  	277141
 2017 XT60   20171215   zr   0.351545   1.0065    0.0231  20.25 -6.1433    0.6359  	278229
 2017 XT60   20171215   zr   0.351626   1.0065    0.0230  20.25 -6.1485    0.6375  	279317
 2017 XT60   20171215   zr   0.351709   1.0065    0.0230  20.25 -6.1539    0.6397  	280405
 2017 XT60   20171215   zr   0.351793   1.0065    0.0230  20.25 -6.1592    0.6414  	281493
 2017 XT60   20171215   zr   0.351878   1.0065    0.0230  20.25 -6.1646    0.6438  	282569
 2017 XT60   20171215   zr   0.351963   1.0065    0.0230  20.25 -6.1699    0.6455  	283657
 2017 XT60   20171215   zr   0.352050   1.0065    0.0230  20.24 -6.1753    0.6477  	284745
 2017 XT60   20171215   zr   0.352137   1.0065    0.0230  20.24 -6.1806    0.6493  	285833
 2017 XT60   20171215   zr   0.352225   1.0065    0.0230  20.24 -6.1859    0.6518  	286921
 2017 XT60   20171215   zr   0.352314   1.0065    0.0230  20.24 -6.1913    0.6535  	288009
 2017 XT60   20171215   zr   0.352404   1.0065    0.0230  20.24 -6.1966    0.6560  	289097
 2017 XT60   20171215   zr   0.352495   1.0065    0.0230  20.24 -6.2020    0.6582  	290174
 2017 XT60   20171215   zr   0.352586   1.0065    0.0230  20.24 -6.2074    0.6607  	291273
 2017 XT60   20171215   zr   0.352679   1.0065    0.0230  20.24 -6.2127    0.6623  	292350
 2017 XT60   20171215   zr   0.352772   1.0065    0.0230  20.24 -6.2180    0.6648  	293438
 2017 XT60   20171215   zr   0.352867   1.0065    0.0230  20.24 -6.2234    0.6665  	294525
 2017 XT60   20171215   zr   0.352962   1.0065    0.0230  20.24 -6.2288    0.6695  	295602
 2017 XT60   20171215   zr   0.353058   1.0065    0.0230  20.24 -6.2341    0.6720  	296690
 2017 XT60   20171215   zr   0.353155   1.0065    0.0230  20.24 -6.2395    0.6737  	297778
 2017 XT60   20171215   zr   0.353253   1.0065    0.0230  20.24 -6.2448    0.6762  	298854
 2017 XT60   20171215   zr   0.353352   1.0065    0.0230  20.24 -6.2502    0.6787  	299942
 2017 XT60   20171215   zr   0.353452   1.0065    0.0230  20.24 -6.2556    0.6818  	301042
 2017 XT60   20171215   zr   0.353552   1.0065    0.0230  20.24 -6.2610    0.6843  	302130
 2017 XT60   20171215   zr   0.353654   1.0065    0.0230  20.24 -6.2664    0.6868  	303218
 2017 XT60   20171215   zr   0.353757   1.0065    0.0230  20.24 -6.2717    0.6885  	304294
 2017 XT60   20171215   zr   0.353860   1.0065    0.0230  20.24 -6.2771    0.6910  	305382
 2017 XT60   20171215   zr   0.353965   1.0065    0.0230  20.24 -6.2825    0.6941  	306470
 2017 XT60   20171215   zr   0.354070   1.0065    0.0230  20.24 -6.2879    0.6966  	307558
 2017 XT60   20171215   zr   0.354175   1.0065    0.0230  20.24 -6.2932    0.7000  	308646
 2017 XT60   20171215   zr   0.354282   1.0065    0.0230  20.24 -6.2986    0.7026  	309734
 2017 XT60   20171215   zr   0.354390   1.0065    0.0230  20.24 -6.3040    0.7051  	310822
 2017 XT60   20171215   zr   0.354498   1.0064    0.0230  20.24 -6.3094    0.7077  	311910
 2017 XT60   20171215   zr   0.354608   1.0064    0.0230  20.23 -6.3148    0.7102  	312986
 2017 XT60   20171215   zr   0.354718   1.0064    0.0230  20.23 -6.3202    0.7133  	314086
 2017 XT60   20171215   zr   0.354830   1.0064    0.0230  20.23 -6.3256    0.7159  	315162
 2017 XT60   20171215   zr   0.354942   1.0064    0.0230  20.23 -6.3311    0.7193  	316250
 2017 XT60   20171215   zr   0.355055   1.0064    0.0230  20.23 -6.3365    0.7218  	317338
 2017 XT60   20171215   zr   0.355167   1.0064    0.0230  20.23 -6.3418    0.7244  	318426
 2017 XT60   20171215   zr   0.355282   1.0064    0.0230  20.23 -6.3472    0.7278  	319514
 2017 XT60   20171215   zr   0.355398   1.0064    0.0230  20.23 -6.3527    0.7304  	320602
 2017 XT60   20171215   zr   0.355514   1.0064    0.0230  20.23 -6.3581    0.7335  	321690
 2017 XT60   20171215   zr   0.355631   1.0064    0.0230  20.23 -6.3635    0.7370  	322778
 2017 XT60   20171215   zr   0.355750   1.0064    0.0230  20.23 -6.3689    0.7395  	323866
 2017 XT60   20171215   zr   0.355868   1.0064    0.0230  20.23 -6.3743    0.7421  	324954
 2017 XT60   20171215   zr   0.355988   1.0064    0.0230  20.23 -6.3798    0.7456  	326042
 2017 XT60   20171215   zr   0.356109   1.0064    0.0230  20.23 -6.3852    0.7482  	327130
 2017 XT60   20171215   zr   0.358150   1.0064    0.0229  20.22 -6.4722    0.7999  	344502
 2017 XT60   20171215   zr   0.358284   1.0064    0.0229  20.22 -6.4777    0.8025  	345590
 2017 XT60   20171215   zr   0.358419   1.0064    0.0229  20.22 -6.4831    0.8061  	346678
 2017 XT60   20171215   zr   0.358554   1.0064    0.0229  20.22 -6.4886    0.8096  	347766
 2017 XT60   20171215   zr   0.358691   1.0064    0.0229  20.22 -6.4940    0.8123  	348854
 2017 XT60   20171215   zr   0.358829   1.0064    0.0229  20.22 -6.4995    0.8158  	349942
 2017 XT60   20171215   zr   0.358967   1.0064    0.0229  20.22 -6.5050    0.8194  	351019
 2017 XT60   20171215   zr   0.359107   1.0064    0.0229  20.22 -6.5104    0.8229  	352106
 2017 XT60   20171215   zr   0.359246   1.0064    0.0229  20.22 -6.5159    0.8256  	353194
 2017 XT60   20171215   zr   0.359386   1.0064    0.0229  20.22 -6.5213    0.8292  	354282
 2017 XT60   20171215   zr   0.359527   1.0064    0.0229  20.22 -6.5268    0.8327  	355370
 2017 XT60   20171215   zr   0.359670   1.0064    0.0229  20.22 -6.5323    0.8354  	356458
 2017 XT60   20171215   zr   0.359813   1.0064    0.0229  20.22 -6.5378    0.8394  	357546
 2017 XT60   20171215   zr   0.359957   1.0064    0.0229  20.22 -6.5433    0.8430  	358623
 2017 XT60   20171215   zr   0.360101   1.0064    0.0229  20.22 -6.5488    0.8466  	359711
 2017 XT60   20171215   zr   0.360247   1.0064    0.0229  20.22 -6.5543    0.8493  	360799
 2017 XT60   20171215   zr   0.360393   1.0064    0.0229  20.22 -6.5598    0.8529  	361887
 2017 XT60   20171215   zr   0.360540   1.0064    0.0229  20.22 -6.5653    0.8564  	362975
 2017 XT60   20171215   zr   0.360686   1.0064    0.0229  20.22 -6.5707    0.8600  	364063
 2017 XT60   20171215   zr   0.360834   1.0064    0.0229  20.22 -6.5762    0.8627  	365150
 2017 XT60   20171215   zr   0.360983   1.0064    0.0229  20.22 -6.5817    0.8663  	366238
 2017 XT60   20171215   zr   0.361133   1.0064    0.0229  20.22 -6.5872    0.8699  	367326
 2017 XT60   20171215   zr   0.361283   1.0064    0.0229  20.22 -6.5927    0.8735  	368403
 2017 XT60   20171215   zr   0.361433   1.0064    0.0229  20.22 -6.5982    0.8762  	369491
 2017 XT60   20171215   zr   0.361585   1.0064    0.0229  20.22 -6.6037    0.8799  	370579
 2017 XT60   20171215   zr   0.361737   1.0064    0.0229  20.21 -6.6092    0.8835  	371667
 2017 XT60   20171215   zr   0.361891   1.0064    0.0229  20.21 -6.6147    0.8862  	372755
 2017 XT60   20171215   zr   0.362045   1.0064    0.0229  20.21 -6.6202    0.8898  	373831
 2017 XT60   20171215   zr   0.362200   1.0064    0.0229  20.21 -6.6257    0.8934  	374919
 2017 XT60   20171215   zr   0.362355   1.0064    0.0229  20.21 -6.6313    0.8971  	376007
 2017 XT60   20171215   zr   0.362511   1.0063    0.0229  20.21 -6.6368    0.8998  	377095
 2017 XT60   20171215   zr   0.362668   1.0063    0.0229  20.21 -6.6423    0.9034  	378183
 2017 XT60   20171215   zr   0.362824   1.0063    0.0229  20.21 -6.6478    0.9071  	379271
 2017 XT60   20171215   zr   0.362982   1.0063    0.0229  20.21 -6.6533    0.9098  	380359
 2017 XT60   20171215   zr   0.363141   1.0063    0.0229  20.21 -6.6588    0.9134  	381447
 2017 XT60   20171215   zr   0.363301   1.0063    0.0229  20.21 -6.6644    0.9171  	382523
 2017 XT60   20171215   zr   0.363461   1.0063    0.0229  20.21 -6.6699    0.9207  	383611
 2017 XT60   20171215   zr   0.363622   1.0063    0.0229  20.21 -6.6754    0.9235  	384711
 2017 XT60   20171215   zr   0.363784   1.0063    0.0228  20.21 -6.6810    0.9275  	385787
 2017 XT60   20171215   zr   0.363946   1.0063    0.0228  20.21 -6.6865    0.9312  	386875
 2017 XT60   20171215   zr   0.364107   1.0063    0.0228  20.21 -6.6920    0.9339  	387963
 2017 XT60   20171215   zr   0.364270   1.0063    0.0228  20.21 -6.6976    0.9376  	389051
 2017 XT60   20171215   zr   0.364435   1.0063    0.0228  20.21 -6.7031    0.9412  	390127
 2017 XT60   20171215   zr   0.364599   1.0063    0.0228  20.21 -6.7087    0.9440  	391215
 2017 XT60   20171215   zr   0.364763   1.0063    0.0228  20.21 -6.7141    0.9477  	392303
 2017 XT60   20171215   zr   0.364929   1.0063    0.0228  20.21 -6.7197    0.9504  	393391
 2017 XT60   20171215   zr   0.365096   1.0063    0.0228  20.21 -6.7253    0.9541  	394479
 2017 XT60   20171215   zr   0.365263   1.0063    0.0228  20.21 -6.7308    0.9577  	395556
 2017 XT60   20171215   zr   0.365431   1.0063    0.0228  20.21 -6.7364    0.9605  	396644
 2017 XT60   20171215   zr   0.365600   1.0063    0.0228  20.21 -6.7419    0.9642  	397731
 2017 XT60   20171215   zr   0.365767   1.0063    0.0228  20.21 -6.7474    0.9669  	398819
 2017 XT60   20171215   zr   0.365937   1.0063    0.0228  20.21 -6.7530    0.9706  	399907
 2017 XT60   20171215   zr   0.369949   1.0063    0.0228  20.20 -6.8800    1.0420  	424595
 2017 XT60   20171215   zr   0.371534   1.0063    0.0228  20.19 -6.9282    1.0675  	433970
 2017 XT60   20171215   zr   0.374041   1.0062    0.0227  20.19 -7.0029    1.1031  	448356
 2017 XT60   20171215   zr   0.379222   1.0062    0.0227  20.18 -7.1525    1.1654  	477049
 2017 XT60   20171218   zr   0.461204   1.0027    0.0204  20.30 -22.1263   1.5784  	195729
 2017 XT60   20171218   zr   0.452283   1.0026    0.0204  20.34 -22.6136   1.6252  	290938
 2017 XT60   20171218   zr   0.450150   1.0025    0.0204  20.35 -22.8483   1.6905  	337211
 2017 XT60   20171218   zr   0.449741   1.0025    0.0205  20.36 -22.9455   1.7262  	356447
 2017 XT60   20171218   zr   0.449616   1.0025    0.0205  20.37 -23.0455   1.7666  	376331
 2017 XU60   20171215   zr   0.453794   1.0091    0.0266  20.47 -15.6952   2.6104  	435602
 2017 XU60   20171215   zr   0.452020   1.0092    0.0267  20.48 -16.1189   2.9200  	478681
 2017 XW60   20171218   zr   0.856278   0.9943    0.0134  20.41 25.3492    2.2261  	391238
 2017 XW60   20171218   zr   0.852984   0.9943    0.0134  20.43 25.4494    2.2242  	415498
 2017 XW60   20171218   zr   0.851717   0.9943    0.0134  20.44 25.4937    2.2408  	426597
 2017 XQ61   20171230   zg   0.185342   1.0318    0.0947  20.61 10.0017    1.1716  	465347
 2017 XQ61   20171230   zg   0.185383   1.0317    0.0946  20.61 10.0297    1.1832  	482454
 2017 XQ61   20180101   zg   0.201549   1.0193    0.0905  20.72 13.4560    1.4546  	501991
 2017 XQ61   20180101   zg   0.201589   1.0192    0.0904  20.72 13.4898    1.4681  	522685
 2017 XQ61   20180101   zg   0.201951   1.0189    0.0904  20.72 13.5564    1.4955  	563738
 2017 XQ61   20180103   zg   0.207682   1.0074    0.0890  20.91 16.6493    1.8027  	477199
 2017 XQ61   20180103   zg   0.207379   1.0073    0.0890  20.92 16.6810    1.8085  	498611
 2017 XQ61   20180103   zg   0.207149   1.0072    0.0890  20.92 16.7179    1.8165  	523692
 2017 XS61   20171208   zr   0.241185   1.0684    0.1269  20.88 51.3248   11.6931  	261493
 2017 XS61   20171210   zr   0.320760   1.0691    0.1101  20.30 39.2928    9.1681  	199734
 2017 XS61   20171210   zr   0.322269   1.0691    0.1099  20.30 39.1319    9.0918  	222095
 2017 XS61   20171210   zr   0.323485   1.0691    0.1098  20.29 39.0019    9.0331  	240104
 2017 XS61   20171210   zr   0.323705   1.0691    0.1098  20.29 38.9782    9.0238  	243356
 2017 XS61   20171210   zr   0.325126   1.0691    0.1096  20.28 38.8242    8.9611  	264572
 2017 XS61   20171210   zr   0.325418   1.0691    0.1096  20.28 38.7925    8.9484  	268935
 2017 XS61   20171214   zr   0.378550   1.0715    0.1016  19.85  5.0571    1.6361  	195856
 2017 XS61   20171214   zr   0.378348   1.0715    0.1017  19.85  4.8958    1.5843  	214340
 2017 XS61   20171215   zr   0.347628   1.0723    0.1060  20.03 -3.3767    0.6089  	194734
 2017 XS61   20171215   zr   0.339454   1.0725    0.1074  20.09 -5.3126    1.1070  	438438
 2017 XS61   20171217   zr   0.267001   1.0741    0.1208  20.57 -17.2923   1.0390  	144780
 2017 XS61   20171217   zr   0.265886   1.0742    0.1210  20.57 -17.4563   1.0725  	171505
 2017 XS61   20171217   zr   0.264790   1.0742    0.1213  20.58 -17.6162   1.1161  	197685
 2017 XS61   20171217   zr   0.259528   1.0743    0.1225  20.62 -18.3682   1.4123  	322176
 2017 XS61   20171217   zr   0.258204   1.0744    0.1228  20.63 -18.5548   1.4820  	353507
 2017 XS61   20171217   zr   0.256281   1.0744    0.1232  20.64 -18.8260   1.5606  	399317
 2017 XS61   20171217   zr   0.256055   1.0744    0.1233  20.64 -18.8579   1.5670  	404734
 2017 XS61   20171218   zr   0.228307   1.0752    0.1305  20.85 -22.8506   1.1638  	117674
 2017 XT61   20180103   zg   0.218931   1.0071    0.0456  18.98  3.0135    1.4181  	170185
 2017 XT61   20180103   zg   0.219981   1.0070    0.0455  18.98  2.9876    1.4134  	194757
 2017 XT61   20180103   zg   0.221138   1.0067    0.0453  18.98  2.9451    1.4071  	233981
 2017 XU61   20171213   zr   0.364151   1.0162    0.0375  20.85 -13.0897  30.0145  	152708
 2017 XU61   20171213   zr   0.355719   1.0166    0.0379  20.85 -12.8551  28.2394  	216493
 2017 XU61   20171213   zr   0.345810   1.0174    0.0384  20.86 -12.4915  25.6472  	317049
 2017 XW61   20171215   zr   0.275425   1.0036    0.0215  18.59 -12.1176   0.4831  	242975
 2017 XW61   20171215   zr   0.308884   1.0026    0.0204  18.50 -13.2601   0.5299  	406331
 2017 XW61   20171215   zr   0.319705   1.0023    0.0202  18.47 -13.6093   0.5750  	452708
 2017 XW61   20171217   zr   1.355898   0.9905    0.0097  17.61 -45.8359   2.2989  	380220
 2017 XX61   20171213   zr   0.169203   1.0346    0.0508  20.93  0.4416   13.3026  	499514
 2017 XX61   20171213   zr   0.171122   1.0344    0.0506  20.93  0.5153   13.1412  	523252
 2017 XX61   20171213   zr   0.173093   1.0342    0.0504  20.92  0.5856   12.9877  	545787
 2017 XX61   20171214   zr   0.220023   1.0293    0.0458  20.77  2.5946    8.6537  	112350
 2017 XX61   20171214   zr   0.224050   1.0281    0.0446  20.74  3.2036    7.5199  	260312
 2017 XX61   20171214   zr   0.226688   1.0275    0.0440  20.72  3.4868    7.0281  	327488
 2017 XX61   20171214   zr   0.227388   1.0274    0.0439  20.72  3.5466    6.9279  	341609
 2017 XX61   20171217   zr   0.816129   1.0009    0.0232  20.45 29.5134   30.9827  	508877
 2017 XY61   20171218   zr   1.131434   0.9916    0.0102  18.22 11.6509    3.8374  	406794
 2017 XY61   20171218   zr   1.166411   0.9914    0.0101  18.21 11.9307    4.0710  	433275
 2017 XY61   20171218   zr   1.182246   0.9913    0.0100  18.21 12.0526    4.1799  	444688
 2017 XY61   20171218   zr   1.200940   0.9912    0.0099  18.20 12.1930    4.3100  	457720
 2017 XY61   20171219   zg   2.844794   0.9827    0.0065  19.30 24.8285    3.8991  	526007
 2017 XY61   20171219   zg   2.818989   0.9825    0.0065  19.37 24.8286    3.9338  	546238
 2017 XZ61   20171214   zr   1.693569   0.9912    0.0122  17.71 18.0772   17.9348  	425417
 2017 XZ61   20171214   zr   1.642526   0.9915    0.0124  17.71 18.4497   16.6756  	457164
 2017 XZ61   20171217   zr   0.177754   1.0189    0.0386  19.28 25.1441    1.1242  	391979
 2017 XZ61   20171217   zr   0.177562   1.0189    0.0386  19.29 25.1440    1.1276  	393600
 2017 XZ61   20171217   zr   0.171650   1.0193    0.0391  19.31 25.1417    1.2328  	440104
  2017 YE    20171217   zr   0.192021   0.9983    0.0152  20.72 -12.2243   0.4378  	462037
  2017 YE    20171218   zr   0.239378   0.9970    0.0136  20.38 -11.8817   0.6024  	132616
  2017 YE    20171218   zr   0.236061   0.9969    0.0135  20.36 -11.8540   0.5930  	164225
  2017 YE    20171218   zr   0.233753   0.9969    0.0135  20.34 -11.8273   0.5822  	194641
  2017 YE    20171218   zr   0.232329   0.9968    0.0134  20.32 -11.7910   0.5690  	236817
  2017 YE    20171218   zr   0.232423   0.9968    0.0133  20.31 -11.7756   0.5653  	254549
  2017 YE    20171218   zr   0.233154   0.9967    0.0133  20.30 -11.7572   0.5624  	276204
  2017 YE    20171218   zr   0.235214   0.9967    0.0132  20.28 -11.7332   0.5612  	305046
  2017 YE    20171220   zg   0.510292   0.9929    0.0092  19.19 -8.9211    1.3045  	319977
  2017 YE    20171220   zg   0.514010   0.9929    0.0092  19.19 -8.8633    1.3456  	344433
  2017 YW    20171220   zg   0.384950   0.9986    0.0238  20.86 -13.1067   1.0715  	189792
  2017 YW    20171220   zg   0.387057   0.9986    0.0238  20.85 -13.2207   1.0773  	212222
  2017 YW    20171220   zg   0.389181   0.9986    0.0237  20.84 -13.3188   1.0982  	231424
  2017 YE1   20171220   zg   0.184693   1.0230    0.0433  19.52 -22.6342   0.5926  	274259
  2017 YE1   20171220   zg   0.184485   1.0230    0.0433  19.52 -22.5652   0.5505  	297442
  2017 YE1   20171220   zg   0.184447   1.0231    0.0433  19.52 -22.4917   0.5303  	322106
  2017 YH1   20171218   zr   2.592793   0.9892    0.0069  12.22 -18.8548  22.4184  	402442
  2017 YH1   20171220   zg   0.290006   1.0017    0.0208  14.30 24.1523    0.7396  	386181
  2017 YH1   20171220   zg   0.281268   1.0019    0.0211  14.33 24.3152    0.7157  	412407
  2017 YJ1   20171220   zg   0.254071   0.9951    0.0133  19.66 26.2049    1.3252  	368345
  2017 YJ1   20171220   zg   0.251680   0.9952    0.0134  19.67 26.1554    1.4541  	386181
  2017 YJ1   20171220   zg   0.247445   0.9953    0.0135  19.69 26.0814    1.7152  	412407
  2017 YK1   20171227   zg   0.207384   1.0710    0.0897  20.69 12.6281    1.9631  	341597
  2017 YK1   20171227   zg   0.206621   1.0710    0.0898  20.69 12.7152    1.9412  	362188
  2017 YK1   20171228   zg   0.191868   1.0731    0.0933  20.92 16.5455    2.3237  	324630
  2017 YK1   20171228   zg   0.191176   1.0732    0.0933  20.92 16.6161    2.2893  	343252
  2017 YK1   20171228   zg   0.189511   1.0733    0.0935  20.93 16.7717    2.2679  	384583
  2017 YL1   20171218   zr   1.031718   0.9833    0.0197  19.91 25.4830   15.5890  	506042
  2017 YL1   20171218   zr   1.032669   0.9836    0.0197  19.88 25.7828   15.1612  	539850
  2017 YL1   20171219   zg   0.879940   0.9914    0.0214  19.28 31.8905    5.6219  	519907
  2017 YL1   20171220   zg   0.637964   0.9985    0.0252  19.16 33.1120    1.3512  	408056
  2017 YL1   20171221   zg   0.423077   1.0065    0.0311  19.27 32.1339    0.9228  	411782
  2017 YL1   20171221   zg   0.422275   1.0065    0.0311  19.27 32.1266    0.9386  	416574
  2017 YL1   20171221   zg   0.420261   1.0066    0.0312  19.28 32.1087    0.9828  	428241
