# ZTF Solar System Marshal CHECK_FMO output
# started at 2018-05-12 02:42:21+0000
# start_date                    = 20171001
# end_date                      = 20180510
# min motion rate (arcsec/sec)  = 0.16666666666666666
# limiting magnitude            = 21.0
# max uncertainty limit         = 60.0
#   object    date UT  filter   rate    sundist   geodist  vmag   ecllat  unc range	fracday      
#                              [''/s]     [AU]      [AU]          [deg]      ['']  	      
 2002 CB19   20180206   zr   0.374610   1.0247    0.0389  18.62  6.9755    1.1233  	267280
 2002 CB19   20180206   zr   0.373991   1.0248    0.0389  18.62  6.9114    1.1240  	274711
 2002 CB19   20180206   zr   0.372801   1.0249    0.0390  18.62  6.7917    1.1254  	288600
 2002 CB19   20180206   zr   0.372059   1.0249    0.0391  18.62  6.7196    1.1254  	297002
 2002 CB19   20180206   zr   0.370791   1.0250    0.0392  18.62  6.6006    1.1262  	310880
 2002 CB19   20180206   zr   0.370329   1.0251    0.0392  18.62  6.5584    1.1269  	315822
 2002 CB19   20180206   zr   0.368695   1.0252    0.0393  18.62  6.4150    1.1283  	332650
 2002 CB19   20180206   zr   0.366613   1.0254    0.0395  18.61  6.2426    1.1298  	352986
 2002 CB19   20180207   zr   0.267713   1.0324    0.0461  18.56 -0.3100    1.1555  	268519
 2002 CB19   20180207   zr   0.267374   1.0324    0.0462  18.56 -0.3467    1.1555  	274479
 2002 CB19   20180207   zr   0.266523   1.0326    0.0463  18.57 -0.4351    1.1562  	288866
 2002 CB19   20180207   zr   0.266127   1.0326    0.0463  18.58 -0.4747    1.1562  	295312
 2002 CB19   20180207   zr   0.266096   1.0326    0.0463  18.58 -0.4777    1.1562  	295799
 2002 CB19   20180207   zr   0.265973   1.0326    0.0463  18.58 -0.4899    1.1562  	297778
 2002 CB19   20180207   zr   0.265942   1.0326    0.0463  18.58 -0.4928    1.1562  	298275
 2002 CB19   20180207   zr   0.264859   1.0328    0.0465  18.60 -0.5951    1.1562  	314988
 2002 CB19   20180207   zr   0.264826   1.0328    0.0465  18.60 -0.5980    1.1562  	315486
 2002 CB19   20180207   zr   0.264760   1.0328    0.0465  18.60 -0.6040    1.1562  	316470
 2002 CB19   20180207   zr   0.264727   1.0328    0.0465  18.60 -0.6071    1.1562  	316956
 2002 CB19   20180207   zr   0.263525   1.0329    0.0466  18.62 -0.7125    1.1554  	333773
 2002 CB19   20180207   zr   0.263348   1.0329    0.0466  18.62 -0.7275    1.1554  	336759
 2002 CB19   20180207   zr   0.261983   1.0331    0.0468  18.64 -0.8383    1.1554  	354537
 2002 JR100  20180429   zg   0.390581   1.0067    0.0279  20.15 43.5475    2.3969  	400752
 2002 JR100  20180429   zg   0.397754   1.0071    0.0278  20.12 43.8674    2.3641  	483738
 2002 JR100  20180504   zi   0.265262   1.0299    0.0344  19.30 45.4148    0.7038  	484051
 2002 JR100  20180505   zr   0.232525   1.0335    0.0367  19.31 43.6965    0.6313  	315174
 2003 UO12   20180113   zg   0.470361   1.0041    0.0279  18.11 36.5192    0.7111  	158843
 2003 UO12   20180113   zg   0.468008   1.0042    0.0279  18.11 36.4546    0.7057  	182755
 2003 UO12   20180113   zg   0.466581   1.0043    0.0279  18.11 36.4076    0.7026  	199734
 2003 UO12   20180113   zg   0.464144   1.0044    0.0280  18.10 36.2990    0.6950  	237546
 2003 UO12   20180113   zg   0.463085   1.0046    0.0281  18.10 36.2235    0.6892  	262894
 2003 UO12   20180113   zg   0.462689   1.0046    0.0281  18.10 36.1806    0.6865  	276933
 2003 UO12   20180114   zg   0.391463   1.0089    0.0305  18.05 32.8047    0.5041  	255822
 2003 UO12   20180114   zg   0.390204   1.0090    0.0306  18.05 32.7160    0.5004  	279977
 2003 UO12   20180114   zg   0.389265   1.0091    0.0307  18.05 32.6206    0.4966  	305486
 2003 UO12   20180114   zg   0.388754   1.0092    0.0307  18.05 32.5376    0.4943  	327407
 2003 UO12   20180114   zg   0.388504   1.0093    0.0308  18.05 32.4610    0.4913  	347384
 2003 UO12   20180114   zg   0.388490   1.0093    0.0308  18.05 32.4533    0.4906  	349352
 2003 UO12   20180114   zg   0.388437   1.0093    0.0308  18.05 32.4012    0.4884  	362836
 2006 UF17   20180325   zg   0.212887   1.0699    0.1360  19.80 22.7799    2.3380  	262558
 2006 UF17   20180327   zg   0.246105   1.0410    0.1260  19.96 23.3574    3.1445  	224873
 2006 UF17   20180327   zg   0.246103   1.0410    0.1260  19.97 23.3574    3.1445  	225822
 2006 UF17   20180327   zg   0.246030   1.0407    0.1259  19.97 23.3579    3.1541  	249340
 2006 UF17   20180330   zg   0.265736   0.9958    0.1206  20.53 22.2751    4.2393  	276377
  2006 XY    20171212   zr   0.444071   0.9911    0.0109  16.70 -9.6791    0.5950  	130741
  2006 XY    20171212   zr   0.449474   0.9911    0.0108  16.67 -10.0866   0.6003  	181806
  2006 XY    20171212   zr   0.449552   0.9911    0.0108  16.67 -10.0908   0.6003  	182350
  2006 XY    20171212   zr   0.467429   0.9911    0.0107  16.63 -10.7733   0.6094  	265914
  2006 XY    20171212   zr   0.468176   0.9911    0.0107  16.63 -10.7954   0.6094  	268102
  2006 XY    20171212   zr   0.469606   0.9911    0.0107  16.62 -10.8370   0.6102  	273623
  2006 XY    20171212   zr   0.481087   0.9911    0.0106  16.60 -11.1432   0.6138  	310104
  2006 XY    20171213   zr   0.605613   0.9910    0.0094  16.18 -19.3179   0.7204  	141944
  2006 XY    20171213   zr   0.609914   0.9910    0.0094  16.15 -19.9969   0.7282  	207801
  2007 KE    20171217   zr   0.216869   1.0390    0.0841  19.36 15.9432    1.0400  	527303
  2007 KE    20171218   zr   0.238731   1.0319    0.0802  19.37 18.6433    1.3273  	447407
  2007 KE    20171218   zr   0.238879   1.0318    0.0801  19.37 18.6943    1.3336  	464560
  2007 KE    20171218   zr   0.239169   1.0316    0.0800  19.37 18.7587    1.3403  	486285
  2007 KE    20171220   zg   0.278354   1.0166    0.0740  19.50 24.8446    2.0609  	468391
  2007 KE    20171220   zg   0.278330   1.0164    0.0740  19.50 24.9055    2.0681  	488727
  2007 KE    20171220   zg   0.278424   1.0162    0.0740  19.51 24.9711    2.0766  	510764
  2007 KE    20171221   zg   0.289498   1.0090    0.0725  19.63 27.7988    2.4154  	475475
  2007 KE    20171221   zg   0.289371   1.0089    0.0725  19.64 27.8283    2.4189  	486134
  2007 KE    20171221   zg   0.289205   1.0087    0.0725  19.64 27.8860    2.4256  	507106
  2007 KE    20171223   zg   0.285582   0.9939    0.0729  20.03 32.6060    2.9301  	506609
  2007 KE    20171223   zg   0.284440   0.9935    0.0730  20.04 32.6956    2.9386  	556771
  2007 KE    20171224   zg   0.273119   0.9868    0.0746  20.27 34.1180    3.0411  	476655
  2007 KE    20171224   zg   0.270133   0.9862    0.0748  20.29 34.2218    3.0468  	560926
 2008 DG17   20180206   zr   0.186807   1.0838    0.1340  17.35 17.7965    0.4582  	408322
 2008 DG17   20180206   zr   0.186825   1.0838    0.1340  17.35 17.7943    0.4582  	408808
 2008 DG17   20180206   zr   0.187396   1.0837    0.1339  17.34 17.7223    0.4582  	424873
 2008 DG17   20180206   zr   0.187413   1.0837    0.1339  17.34 17.7201    0.4582  	425370
 2008 DG17   20180206   zr   0.187908   1.0837    0.1338  17.34 17.6564    0.4592  	439549
 2008 DG17   20180206   zr   0.188233   1.0836    0.1337  17.34 17.6137    0.4592  	449016
 2008 DG17   20180206   zr   0.188618   1.0836    0.1336  17.34 17.5621    0.4592  	460451
 2008 DG17   20180206   zr   0.188651   1.0836    0.1336  17.34 17.5577    0.4592  	461435
 2008 DG17   20180207   zr   0.214538   1.0799    0.1252  17.15 13.0474    0.4864  	403796
 2008 DG17   20180207   zr   0.217213   1.0796    0.1245  17.13 12.6559    0.4886  	479479
 2008 DG17   20180207   zr   0.217892   1.0795    0.1243  17.13 12.5461    0.4895  	500556
